uid,city,列1,year,各省环保项目信贷总额(亿元),各省信贷总额(亿元),绿色信贷,绿色债券发行总额（亿元),所有债券发行总额（亿元）,绿色债券,环境污染治理投资亿元,GDP（亿元）,绿色投资,财政环境保护支出（亿元）,总保费支出（亿元）,绿色保险,碳交易用能权交易排污权交易亿元,权益市场交易总额亿元,绿色权益,绿色基金总市值亿元,所有基金总市值亿元,绿色基金,碳排放量(万吨),GDP（亿元）2,碳金融,绿色金融指数
,云南省,,2010,107.030,3240.250,0.033,367.370,3666.630,0.100,1013.290,7224.180,0.140,86.410,2040.320,0.042,224.870,4226.680,0.053,15.720,352.120,0.045,9240.000,7224.180,1.279,0.204
,云南省,,2011,115.620,3502.500,0.033,370.720,3629.910,0.102,1232.100,8893.120,0.139,95.860,2302.300,0.042,223.720,3987.930,0.056,17.210,351.010,0.049,6410.800,8893.120,0.721,0.168
,云南省,,2012,149.060,3644.870,0.041,394.410,3461.420,0.114,1311.560,10309.500,0.127,101.120,2333.130,0.043,289.300,4711.090,0.061,22.190,409.660,0.054,8102.400,10309.500,0.786,0.447
,云南省,,2013,150.330,3949.230,0.038,375.960,3417.140,0.110,1355.010,11832.300,0.115,105.290,2074.040,0.051,278.560,4677.450,0.060,17.830,346.130,0.052,10183.800,11832.300,0.861,0.245
,云南省,,2014,188.020,4390.470,0.043,510.560,4291.740,0.119,1634.340,12814.600,0.128,108.880,2277.390,0.048,291.050,4769.910,0.061,19.410,368.390,0.053,9200.400,12814.600,0.718,0.339
,云南省,,2015,149.950,3716.990,0.040,518.870,4200.910,0.124,1501.040,13619.200,0.110,134.080,2493.080,0.054,309.170,4728.620,0.065,22.860,426.030,0.054,9310.000,13619.200,0.684,0.317
,云南省,,2016,145.940,3737.630,0.039,475.160,4074.860,0.117,1503.200,14788.400,0.102,150.130,2779.260,0.054,255.140,4399.120,0.058,22.590,428.020,0.053,9043.200,14788.400,0.612,0.115
,云南省,,2017,196.410,4779.620,0.041,665.380,4835.680,0.138,2187.450,16376.300,0.134,179.480,2564.890,0.070,381.170,5539.260,0.069,30.670,481.780,0.064,9412.800,16376.300,0.575,0.417
,云南省,,2018,192.610,4507.660,0.043,567.820,4201.530,0.135,1900.540,17881.100,0.106,169.810,2609.360,0.065,351.210,4869.660,0.072,26.050,455.140,0.057,13353.200,17881.100,0.747,0.290
,云南省,,2019,178.480,4303.250,0.041,603.640,4363.480,0.138,2110.200,23223.800,0.091,205.160,2766.550,0.074,339.100,5005.670,0.068,26.810,441.150,0.061,12004.200,23223.800,0.517,0.221
,云南省,,2020,181.760,4165.040,0.044,579.180,4391.590,0.132,1953.140,24521.900,0.080,163.970,2930.680,0.056,381.030,5388.100,0.071,25.660,427.310,0.060,13592.000,24521.900,0.554,0.170
,云南省,,2021,210.420,4384.120,0.048,697.990,4932.350,0.142,2082.830,27146.800,0.077,136.100,2757.610,0.049,460.020,5953.460,0.077,29.840,485.010,0.062,13005.200,27146.800,0.479,0.271
,云南省,,2022,210.880,4504.440,0.047,719.460,4934.030,0.146,2145.590,28954.200,0.077,139.190,2772.930,0.050,460.980,6134.630,0.075,30.330,489.560,0.062,12516.000,28954.200,0.432,0.271
,云南省,,2023,221.440,4603.160,0.048,743.190,5094.250,0.146,2177.370,30021.100,0.076,140.640,2816.050,0.050,466.880,6191.940,0.075,30.740,505.320,0.061,12026.800,30021.100,0.401,0.281
,内蒙古自治区,,2000,53.070,2202.440,0.024,156.240,2207.880,0.071,509.960,1401.010,0.364,43.440,1346.380,0.032,101.210,2701.120,0.037,7.660,233.660,0.033,4936.000,1401.010,3.523,0.455
,内蒙古自治区,,2001,50.090,2124.850,0.024,157.400,2232.700,0.070,552.370,1713.810,0.322,44.800,1386.820,0.032,101.900,2699.630,0.038,7.180,238.540,0.030,6984.600,1713.810,4.075,0.278
,内蒙古自治区,,2002,63.850,2464.520,0.026,191.810,2471.230,0.078,602.890,1940.940,0.311,42.550,1499.700,0.028,130.510,3276.920,0.040,8.460,244.440,0.035,5381.200,1940.940,2.772,0.413
,内蒙古自治区,,2003,71.630,2747.980,0.026,237.090,2903.410,0.082,674.540,2388.380,0.282,55.440,1729.020,0.032,128.450,3225.630,0.040,9.740,259.550,0.038,8215.600,2388.380,3.440,0.390
,内蒙古自治区,,2004,89.470,3043.360,0.029,238.710,2872.320,0.083,686.280,3041.070,0.226,42.690,1971.890,0.022,134.790,3239.580,0.042,12.100,307.680,0.039,7732.800,3041.070,2.543,0.344
,内蒙古自治区,,2005,88.710,3164.270,0.028,282.270,3208.620,0.088,1021.010,3905.030,0.261,51.610,1907.210,0.027,155.670,3338.980,0.047,11.970,314.800,0.038,7705.000,3905.030,1.973,0.358
,内蒙古自治区,,2006,82.740,2775.530,0.030,256.200,3019.960,0.085,830.250,4944.250,0.168,63.830,1981.770,0.032,155.720,3528.810,0.044,12.030,293.320,0.041,8647.600,4944.250,1.749,0.261
,内蒙古自治区,,2007,106.460,3213.230,0.033,321.280,3391.190,0.095,1089.520,6423.180,0.170,61.730,2079.730,0.030,193.020,3851.800,0.050,14.930,328.010,0.046,9687.600,6423.180,1.508,0.410
,内蒙古自治区,,2008,102.250,3062.950,0.033,264.650,2848.370,0.093,1070.320,8496.200,0.126,79.680,1894.020,0.042,170.120,3655.330,0.047,12.890,315.670,0.041,10707.200,8496.200,1.260,0.228
,内蒙古自治区,,2009,122.650,3275.240,0.037,350.190,3292.320,0.106,1214.740,9740.250,0.125,97.900,2386.650,0.041,220.730,4126.480,0.053,14.150,317.710,0.045,7638.600,9740.250,0.784,0.366
,内蒙古自治区,,2010,112.420,3459.660,0.032,368.670,3441.180,0.107,1045.480,11672.000,0.090,107.990,2328.950,0.046,210.540,4068.650,0.052,17.260,369.470,0.047,9882.000,11672.000,0.847,0.225
,内蒙古自治区,,2011,119.240,3461.250,0.034,385.790,3550.400,0.109,1586.460,14359.900,0.110,117.550,2264.500,0.052,228.150,4118.380,0.055,18.000,354.570,0.051,11730.400,14359.900,0.817,0.243
,内蒙古自治区,,2012,142.050,3691.780,0.038,437.230,3860.680,0.113,1234.070,15880.600,0.078,131.590,2081.320,0.063,281.080,4779.670,0.059,18.950,384.690,0.049,10099.200,15880.600,0.636,0.340
,内蒙古自治区,,2013,152.670,3821.190,0.040,426.660,3641.120,0.117,1468.000,16916.500,0.087,132.110,2677.150,0.049,285.740,4460.460,0.064,22.780,426.670,0.053,10837.200,16916.500,0.641,0.379
,内蒙古自治区,,2014,131.260,3810.080,0.034,455.400,3926.970,0.116,1654.320,17770.200,0.093,142.750,2484.360,0.057,250.000,4486.690,0.056,20.430,373.380,0.055,11485.200,17770.200,0.646,0.213
,内蒙古自治区,,2015,152.860,3893.410,0.039,560.800,4444.070,0.126,1492.140,17831.500,0.084,175.250,2298.040,0.076,277.680,4561.060,0.061,23.630,439.640,0.054,7252.000,17831.500,0.407,0.316
,内蒙古自治区,,2016,170.900,4110.290,0.042,505.070,4023.100,0.126,1557.960,18128.100,0.086,159.390,2858.520,0.056,312.430,4682.460,0.067,25.260,458.520,0.055,8683.200,18128.100,0.479,0.282
,内蒙古自治区,,2017,165.290,4086.970,0.040,578.300,4558.420,0.127,1938.630,16096.200,0.120,143.670,2550.060,0.056,334.220,4872.210,0.069,24.480,437.890,0.056,13194.200,16096.200,0.820,0.273
,内蒙古自治区,,2018,202.660,4404.010,0.046,583.090,4312.110,0.135,1950.430,17289.200,0.113,162.720,2676.710,0.061,409.070,5542.960,0.074,31.880,489.060,0.065,11886.400,17289.200,0.688,0.390
,内蒙古自治区,,2019,226.100,4768.210,0.047,596.800,4357.610,0.137,2186.140,17212.500,0.127,154.480,2697.020,0.057,370.130,4969.370,0.074,30.030,493.380,0.061,15397.200,17212.500,0.895,0.333
,内蒙古自治区,,2020,189.580,4547.980,0.042,589.920,4487.140,0.131,1891.850,17359.800,0.109,149.370,2525.770,0.059,344.710,5318.120,0.065,27.410,477.130,0.057,15944.000,17359.800,0.918,0.091
,内蒙古自治区,,2021,204.950,4411.530,0.046,721.980,5029.810,0.144,2205.810,20514.200,0.108,143.870,3399.260,0.042,387.130,5499.710,0.070,32.340,488.650,0.066,9528.400,20514.200,0.464,0.253
,内蒙古自治区,,2022,210.600,4501.940,0.047,723.220,5090.070,0.142,2260.380,23158.600,0.108,147.750,3420.380,0.043,392.110,5513.270,0.071,32.940,503.290,0.065,10760.400,23158.600,0.465,0.257
,内蒙古自治区,,2023,216.330,4619.400,0.047,747.270,5114.540,0.146,2300.050,24627.000,0.108,151.110,3457.100,0.044,392.230,5580.850,0.070,33.130,519.560,0.064,11992.400,24627.000,0.487,0.255
,北京市,,2000,49.930,2236.160,0.022,166.770,2458.680,0.068,590.710,2478.760,0.238,14.780,1519.710,0.010,102.600,2899.510,0.035,7.720,240.640,0.032,30004.000,2478.760,12.104,0.226
,北京市,,2001,51.500,2273.260,0.023,181.810,2541.950,0.072,575.760,3710.520,0.155,18.340,1746.930,0.010,120.690,3066.070,0.039,8.230,261.620,0.031,32814.602,3710.520,8.844,0.202
,北京市,,2002,58.270,2319.770,0.025,178.880,2306.500,0.078,669.620,4330.400,0.155,17.580,1530.030,0.011,109.580,2853.590,0.038,8.830,255.920,0.035,32414.801,4330.400,7.485,0.254
,北京市,,2003,59.550,2384.150,0.025,190.540,2522.840,0.076,645.220,5023.770,0.128,21.310,1798.700,0.012,121.510,3013.350,0.040,8.070,240.600,0.034,33046.398,5023.770,6.578,0.141
,北京市,,2004,73.540,2551.300,0.029,209.710,2584.800,0.081,657.240,6060.280,0.108,25.870,1527.130,0.017,126.420,3200.580,0.039,10.700,290.650,0.037,36460.801,6060.280,6.016,0.225
,北京市,,2005,79.870,2965.290,0.027,242.650,2886.580,0.084,818.540,6969.520,0.117,25.790,2049.050,0.013,142.930,3348.560,0.043,10.330,274.720,0.038,36025.000,6969.520,5.169,0.167
,北京市,,2006,90.490,3048.430,0.030,267.380,2922.270,0.091,885.040,8117.780,0.109,27.800,2045.260,0.014,171.960,3469.710,0.050,12.840,329.020,0.039,39426.398,8117.780,4.857,0.312
,北京市,,2007,104.050,3165.500,0.033,329.570,3314.980,0.099,1019.630,9846.810,0.104,29.580,1861.400,0.016,178.840,3568.620,0.050,16.400,351.920,0.047,39409.199,9846.810,4.002,0.381
,北京市,,2008,123.930,3623.690,0.034,327.360,3256.000,0.101,1194.130,11115.000,0.107,35.470,2176.780,0.016,205.240,3924.700,0.052,15.900,324.870,0.049,41736.801,11115.000,3.755,0.432
,北京市,,2009,107.170,3268.540,0.033,364.400,3575.770,0.102,1282.300,12153.000,0.106,54.050,2188.630,0.025,222.040,4094.560,0.054,16.300,336.670,0.048,45796.801,12153.000,3.768,0.275
,北京市,,2010,115.470,3522.570,0.033,395.200,3590.220,0.110,1350.680,14113.600,0.096,60.850,2557.840,0.024,260.530,4506.150,0.058,17.020,329.160,0.052,44238.000,14113.600,3.134,0.349
,北京市,,2011,123.430,3216.450,0.038,385.200,3596.590,0.107,1336.980,16251.900,0.082,94.510,2530.650,0.037,236.290,4188.640,0.056,15.940,337.760,0.047,47318.398,16251.900,2.912,0.276
,北京市,,2012,124.650,3586.890,0.035,390.310,3470.260,0.112,1480.580,17879.400,0.083,113.540,2690.680,0.042,248.750,4110.700,0.061,20.400,400.360,0.051,46233.602,17879.400,2.586,0.282
,北京市,,2013,143.410,3710.880,0.039,412.770,3684.760,0.112,1490.720,19800.800,0.075,138.170,2195.050,0.063,262.150,4357.270,0.060,19.290,396.540,0.049,46417.801,19800.800,2.344,0.248
,北京市,,2014,175.130,4255.940,0.041,468.940,3842.270,0.122,1777.220,21330.800,0.083,213.360,2932.200,0.073,305.620,4621.160,0.066,24.390,436.770,0.056,49089.199,21330.800,2.301,0.421
,北京市,,2015,154.720,4163.090,0.037,449.710,3769.070,0.119,1466.140,23014.600,0.064,303.260,2479.820,0.122,248.060,4307.210,0.058,21.980,425.250,0.052,54565.000,23014.600,2.371,0.244
,北京市,,2016,163.330,4219.290,0.039,518.110,4294.670,0.121,1888.540,25669.100,0.074,363.380,2514.010,0.145,281.860,4529.610,0.062,20.880,404.000,0.052,53589.602,25669.100,2.088,0.222
,北京市,,2017,186.320,3994.130,0.047,585.210,4580.560,0.128,2066.730,28014.900,0.074,458.440,2505.310,0.183,390.920,5494.120,0.071,23.020,403.720,0.057,57786.602,28014.900,2.063,0.457
,北京市,,2018,242.500,4964.420,0.049,626.550,4530.010,0.138,2335.200,30320.000,0.077,399.450,2869.930,0.139,392.190,5241.240,0.075,26.510,446.910,0.059,58314.801,30320.000,1.923,0.465
,北京市,,2019,202.390,4303.040,0.047,575.210,4499.500,0.128,2056.190,35371.300,0.058,308.810,3084.870,0.100,347.280,5406.020,0.064,23.970,421.310,0.057,58601.398,35371.300,1.657,0.204
,北京市,,2020,200.900,4444.200,0.045,579.830,4155.240,0.140,2300.050,36102.600,0.064,236.900,2598.160,0.091,398.680,5514.180,0.072,30.460,468.940,0.065,62600.000,36102.600,1.734,0.319
,北京市,,2021,236.560,4586.970,0.052,622.380,4432.010,0.140,1897.760,40269.600,0.047,249.240,3404.070,0.073,414.490,5868.880,0.071,31.780,479.530,0.066,58047.801,40269.600,1.441,0.281
,北京市,,2022,237.230,4673.070,0.051,630.220,4565.730,0.138,1943.360,41610.900,0.048,255.460,3491.450,0.073,425.290,5956.600,0.071,32.170,484.240,0.066,60009.602,41610.900,1.442,0.287
,北京市,,2023,244.160,4760.430,0.051,633.580,4679.170,0.135,1974.200,43760.700,0.047,263.960,3588.540,0.074,426.730,6065.010,0.070,33.020,487.390,0.068,61971.402,43760.700,1.416,0.276
,吉林省,,2000,53.850,2235.470,0.024,189.730,2611.470,0.073,595.860,1821.190,0.327,20.560,1420.320,0.014,110.550,3040.610,0.036,7.370,226.120,0.033,14548.000,1821.190,7.988,0.364
,吉林省,,2001,63.100,2541.210,0.025,178.430,2512.360,0.071,511.150,2120.350,0.241,21.390,1568.850,0.014,97.540,2857.270,0.034,7.050,214.670,0.033,16258.200,2120.350,7.668,0.238
,吉林省,,2002,70.810,2806.950,0.025,186.010,2401.040,0.077,573.410,2348.540,0.244,23.690,1464.910,0.016,140.240,3324.740,0.042,9.870,271.080,0.036,14586.000,2348.540,6.211,0.349
,吉林省,,2003,63.800,2519.450,0.025,219.500,2639.230,0.083,735.660,2662.080,0.276,31.770,1695.570,0.019,154.180,3503.880,0.044,10.440,281.840,0.037,16711.801,2662.080,6.278,0.379
,吉林省,,2004,68.020,2443.460,0.028,202.190,2536.270,0.080,834.020,3122.010,0.267,37.180,1790.340,0.021,135.930,3335.940,0.041,10.840,283.330,0.038,17587.199,3122.010,5.633,0.280
,吉林省,,2005,83.740,2913.020,0.029,280.880,3212.000,0.087,911.890,3620.270,0.252,31.190,1660.340,0.019,163.050,3520.710,0.046,12.380,290.870,0.043,18210.000,3620.270,5.030,0.369
,吉林省,,2006,94.350,3135.250,0.030,298.490,3228.250,0.092,1027.840,4275.120,0.240,37.980,2019.870,0.019,173.330,3767.390,0.046,12.760,324.930,0.039,19037.199,4275.120,4.453,0.296
,吉林省,,2007,101.030,3387.590,0.030,328.380,3462.070,0.095,1121.440,5284.690,0.212,30.450,2214.600,0.014,186.960,3878.480,0.048,14.190,316.120,0.045,19110.600,5284.690,3.616,0.283
,吉林省,,2008,98.880,3159.640,0.031,288.570,2943.780,0.098,1033.330,6426.100,0.161,45.610,2058.000,0.022,206.180,4056.010,0.051,14.230,316.430,0.045,18866.400,6426.100,2.936,0.306
,吉林省,,2009,104.450,3260.790,0.032,376.120,3650.190,0.103,1327.160,7278.750,0.182,49.480,2066.450,0.024,225.890,4353.730,0.052,16.130,330.310,0.049,17748.000,7278.750,2.438,0.257
,吉林省,,2010,132.910,3679.620,0.036,370.930,3485.480,0.106,1308.850,8667.580,0.151,71.550,2265.370,0.032,215.620,4035.750,0.053,18.320,360.630,0.051,22830.000,8667.580,2.634,0.313
,吉林省,,2011,124.170,3752.910,0.033,346.670,3429.670,0.101,1068.040,10568.800,0.101,102.420,2434.100,0.042,246.890,4377.980,0.056,17.160,374.280,0.046,20069.400,10568.800,1.899,0.131
,吉林省,,2012,127.170,3563.470,0.036,417.080,3713.260,0.112,1268.480,11939.200,0.106,113.850,2254.920,0.050,250.890,4555.450,0.055,19.730,384.670,0.051,22080.000,11939.200,1.849,0.266
,吉林省,,2013,161.590,4106.840,0.039,478.550,4184.110,0.114,1323.480,13046.400,0.101,126.830,2119.450,0.060,275.050,4722.230,0.058,19.690,354.760,0.056,26129.400,13046.400,2.003,0.319
,吉林省,,2014,144.020,4113.880,0.035,464.340,3992.880,0.116,1445.530,13803.100,0.105,140.300,2381.430,0.059,260.960,4291.940,0.061,19.190,367.800,0.052,21522.000,13803.100,1.559,0.238
,吉林省,,2015,147.770,3847.490,0.038,526.210,4073.770,0.129,1549.130,14063.100,0.110,117.700,2553.820,0.046,344.880,5133.550,0.067,23.170,418.270,0.055,25452.000,14063.100,1.810,0.351
,吉林省,,2016,162.150,4253.030,0.038,444.740,3733.270,0.119,1879.010,14776.800,0.127,122.140,2539.150,0.048,294.080,4786.040,0.061,21.740,404.170,0.054,24883.199,14776.800,1.684,0.133
,吉林省,,2017,195.550,4222.990,0.046,645.070,4695.800,0.137,1692.050,14944.500,0.113,115.120,2486.920,0.046,391.430,5601.830,0.070,28.840,473.620,0.061,25211.801,14944.500,1.687,0.405
,吉林省,,2018,198.830,4765.690,0.042,599.130,4581.590,0.131,2168.200,15074.600,0.144,120.790,3068.590,0.039,344.740,5207.850,0.066,27.700,479.140,0.058,27724.801,15074.600,1.839,0.189
,吉林省,,2019,173.300,4085.160,0.042,546.090,4138.540,0.132,1723.250,11726.800,0.147,147.970,2897.060,0.051,334.300,5151.940,0.065,27.240,444.020,0.061,29484.000,11726.800,2.514,0.188
,吉林省,,2020,251.280,5015.300,0.050,648.790,4514.540,0.144,2039.540,12311.300,0.166,131.530,3343.540,0.039,388.870,5640.180,0.069,29.110,473.370,0.061,29064.000,12311.300,2.361,0.348
,吉林省,,2021,261.850,5172.780,0.051,766.530,5143.100,0.149,2353.660,13235.500,0.178,112.270,3473.710,0.032,469.980,5956.210,0.079,37.730,524.380,0.072,30594.199,13235.500,2.312,0.432
,吉林省,,2022,265.450,5196.500,0.051,775.180,5283.260,0.147,2396.700,13070.200,0.180,114.410,3494.720,0.033,479.890,5975.300,0.080,38.650,527.400,0.073,32701.199,13070.200,2.502,0.447
,吉林省,,2023,267.520,5202.860,0.051,786.150,5358.480,0.147,2442.260,13531.200,0.180,116.900,3590.970,0.033,481.380,6044.890,0.080,39.700,540.240,0.073,34808.199,13531.200,2.572,0.465
,四川省,,2000,57.880,2486.580,0.023,168.420,2343.610,0.072,488.300,4010.250,0.122,30.650,1628.720,0.019,109.360,2884.910,0.038,7.980,258.850,0.031,15696.000,4010.250,3.914,0.363
,四川省,,2001,70.750,2591.400,0.027,179.260,2367.940,0.076,640.930,4293.490,0.149,32.460,1616.480,0.020,125.540,3108.400,0.040,7.850,244.530,0.032,14238.000,4293.490,3.316,0.384
,四川省,,2002,76.900,2688.870,0.029,202.870,2622.210,0.077,694.810,4725.010,0.147,36.940,1805.050,0.020,127.780,3266.740,0.039,9.500,268.550,0.035,15545.200,4725.010,3.290,0.401
,四川省,,2003,86.070,2877.270,0.030,232.300,2813.070,0.083,669.880,5333.090,0.126,41.560,1613.030,0.026,134.720,3261.950,0.041,11.440,285.600,0.040,14494.600,5333.090,2.718,0.499
,四川省,,2004,76.680,2638.220,0.029,212.400,2620.270,0.081,790.970,6379.630,0.124,38.580,1982.530,0.019,133.390,2991.740,0.045,10.670,273.250,0.039,16972.801,6379.630,2.660,0.332
,四川省,,2005,79.910,2785.200,0.029,272.850,3101.390,0.088,855.020,7385.100,0.116,49.620,1718.250,0.029,165.690,3641.350,0.046,12.400,317.270,0.039,17900.000,7385.100,2.424,0.363
,四川省,,2006,79.430,2671.140,0.030,245.560,2849.460,0.086,784.650,8690.240,0.090,51.590,1759.600,0.029,157.440,3448.930,0.046,10.290,280.070,0.037,17940.000,8690.240,2.064,0.222
