uid,province_id,province,year,co2_emissions,gdp,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gf_index,green_finance_pilot,ln_gdp,ln_co2,z_green_invention_patents,z_green_utility_patents,z_credit,z_bond,z_investment,z_insurance,z_equity,z_fund,z_carbon_finance,Factor_1,Factor_2,Factor_3
3115,1,Shanghai,2015,193922496,27821.6,4423,3043,0.039999999,0.121,0.064999998,0.037999999,0.061000001,0.057,1.965,0.266,0,10.233568,19.08297,0.58430135,0.23259586,0.45694274,0.50897962,-0.40289018,-0.024164131,0.38944381,0.6851145,-0.38768741,0.43728006,0.15225457,-0.28516731
3116,1,Shanghai,2016,181333616,30963.9,5144,3798,0.039999999,0.12800001,0.052000001,0.055,0.064000003,0.059,1.789,0.264,0,10.340577,19.015848,0.75964952,0.41442129,0.45694274,0.80282384,-0.42946777,0.49122781,0.63130224,0.86827129,-0.41603538,0.57411486,0.4160291,-0.28880024
3117,1,Shanghai,2017,183883760,34378.301,6228,4934,0.037,0.121,0.050000001,0.078000002,0.063000001,0.059,1.849,0.164,0,10.445181,19.029814,1.0232798,0.68800229,0.089545049,0.50897962,-0.43355665,1.1885228,0.55068266,0.86827129,-0.4063713,0.27065447,0.94317716,-0.32457682
3118,1,Shanghai,2018,188922192,37769.102,7335,5421,0.041000001,0.131,0.057,0.079999998,0.071000002,0.061999999,1.813,0.26499999,0,10.539247,19.056847,1.2925037,0.80528569,0.57940894,0.92875659,-0.41924563,1.2491571,1.1956381,1.1430062,-0.41216975,0.74487281,0.99195659,-0.2113294
3119,1,Shanghai,2019,196674960,40241.199,8838,7331,0.046999998,0.141,0.059,0.071000002,0.071999997,0.068000004,1.5140001,0.366,0,10.602647,19.097063,1.6580353,1.2652678,1.3142043,1.3485339,-0.41515675,0.97630262,1.276257,1.6924769,-0.46032906,1.172932,1.135268,-0.075654805
3120,1,Shanghai,2020,193113584,41603.898,10179,9166,0.052000001,0.14300001,0.063000001,0.068999998,0.078000002,0.064000003,1.566,0.433,0,10.635949,19.078789,1.9841683,1.707188,1.9265344,1.4324894,-0.40697905,0.91566819,1.7599739,1.3261634,-0.45195353,1.3200756,1.4083334,0.028797776
3121,1,Shanghai,2021,202709664,47059.398,11437,8842,0.048999999,0.15099999,0.052000001,0.056000002,0.078000002,0.066,1.431,0.34900001,0,10.759166,19.127285,2.2901156,1.6291596,1.5591363,1.7683104,-0.42946777,0.52154505,1.7599739,1.5093198,-0.47369769,1.3534116,1.3728474,0.046263289
3122,1,Shanghai,2022,196101248,48594.5,11055,7100,0.048999999,0.156,0.052999999,0.057,0.079000004,0.066,1.391,0.38100001,0,10.791265,19.094141,2.1972127,1.2096366,1.5591363,1.9781994,-0.42742336,0.55186218,1.8405935,1.5093198,-0.48014039,1.4913507,1.1226276,0.0201161
3123,1,Shanghai,2023,205270736,51404.5,11219,7742,0.050000001,0.152,0.052999999,0.057999998,0.079999998,0.064999998,1.321,0.39300001,0,10.847481,19.139841,2.2370977,1.3642484,1.6816025,1.8102882,-0.42742336,0.58217931,1.9212124,1.4177412,-0.49141517,1.4516376,1.2261995,0.02413789
5300,2,Yunnan,2000,72648408,2052.3,27,40,0.025,0.068000004,0.26100001,0.015,0.034000002,0.033,4.0570002,0.28400001,0,7.6267166,18.101143,-0.48481175,-0.49061173,-1.3800464,-1.7158384,-0.002181812,-0.72145903,-1.7872802,-1.5127664,-0.050733332,-1.6753086,-0.15694682,-0.34872779
5301,2,Yunnan,2001,75648288,2186.3999,42,30,0.027000001,0.075999998,0.229,0.016000001,0.037,0.032000002,3.023,0.35100001,0,7.6900115,18.141605,-0.48116374,-0.49302003,-1.1351144,-1.3800172,-0.067603596,-0.69114184,-1.5454221,-1.6043446,-0.21727757,-1.4799474,-0.22243725,-0.44228119
5302,2,Yunnan,2002,79207728,2392,46,43,0.027000001,0.077,0.27000001,0.018999999,0.039999999,0.035999998,3.4219999,0.38800001,0,7.7798853,18.187584,-0.48019093,-0.48988923,-1.1351144,-1.3380393,0.016218068,-0.60019034,-1.303564,-1.2380314,-0.15301149,-1.2888415,-0.2375394,-0.33491117
5303,2,Yunnan,2003,94204008,2673.6001,66,47,0.027000001,0.077,0.228,0.018999999,0.041000001,0.034000002,3.063,0.252,0,7.891181,18.360973,-0.4753269,-0.48892593,-1.1351144,-1.3380393,-0.069648027,-0.60019034,-1.2229444,-1.4211878,-0.21083486,-1.3299803,-0.23361343,-0.42021129
5304,2,Yunnan,2004,109501160,3185.3,59,38,0.026000001,0.082000002,0.215,0.027000001,0.044,0.035999998,1.645,0.29899999,0,8.0663013,18.511446,-0.47702929,-0.4910934,-1.2575804,-1.1281507,-0.096225619,-0.35765296,-0.98108631,-1.2380314,-0.43922916,-1.2015949,-0.22296371,-0.54753864
5305,2,Yunnan,2005,119960512,3553.3,90,38,0.028000001,0.086000003,0.27500001,0.02,0.046999998,0.041000001,1.784,0.33899999,0,8.1756325,18.602673,-0.46949005,-0.4910934,-1.0126485,-0.96023983,0.026440211,-0.56987321,-0.73922813,-0.78013927,-0.4168407,-0.86142254,-0.37188709,-0.39907268
5306,2,Yunnan,2006,142414880,4157.7002,97,73,0.033,0.088,0.221,0.017999999,0.045000002,0.041999999,1.99,0.30599999,0,8.3327169,18.774256,-0.46778765,-0.48266441,-0.40031886,-0.8762846,-0.083959043,-0.63050753,-0.90046668,-0.68856108,-0.38366073,-0.69394535,-0.43785852,-0.40867877
5307,2,Yunnan,2007,161465056,5166,107,62,0.028000001,0.093999997,0.189,0.015,0.048999999,0.043000001,1.78,0.222,0,8.5498543,18.899799,-0.46535563,-0.4853135,-1.0126485,-0.6244185,-0.14938082,-0.72145903,-0.57798928,-0.59698254,-0.417485,-0.6821472,-0.47751784,-0.46304283
5308,2,Yunnan,2008,165360704,6120.6001,163,114,0.035,0.097000003,0.185,0.028999999,0.050000001,0.048,1.309,0.42300001,0,8.7194157,18.923639,-0.45173636,-0.47279042,-0.15538691,-0.49848512,-0.15755853,-0.29701865,-0.49736974,-0.13909078,-0.49334797,-0.2744987,-0.4633936,-0.45359942
5309,2,Yunnan,2009,170803504,6690.2002,172,146,0.030999999,0.097000003,0.152,0.043000001,0.052000001,0.045000002,1.2180001,0.21699999,0,8.8083992,18.956024,-0.44954756,-0.46508393,-0.6452508,-0.49848512,-0.22502474,0.12742181,-0.33613086,-0.41382575,-0.50800514,-0.47535139,-0.2793107,-0.55640733
5310,2,Yunnan,2010,181827088,7869.8999,236,182,0.033,0.1,0.14,0.041999999,0.052999999,0.045000002,1.279,0.204,0,8.9708004,19.018566,-0.43398267,-0.4564141,-0.40031886,-0.37255207,-0.2495579,0.097104572,-0.25551158,-0.41382575,-0.49818,-0.3513751,-0.31391644,-0.54040468
5311,2,Yunnan,2011,197174336,9666.2002,264,230,0.033,0.102,0.139,0.041999999,0.056000002,0.048999999,0.72100002,0.168,0,9.1763906,19.099598,-0.42717302,-0.44485435,-0.40031886,-0.28859681,-0.25160235,0.097104572,-0.01365316,-0.047512557,-0.58805591,-0.15788631,-0.37120971,-0.55583721
5312,2,Yunnan,2012,212927888,11266.3,361,302,0.041000001,0.114,0.127,0.043000001,0.061000001,0.054000001,0.78600001,0.447,0,9.3295708,19.176464,-0.40358248,-0.4275147,0.57940894,0.21513572,-0.2761355,0.12742181,0.38944381,0.41037953,-0.57758647,0.49921998,-0.53362578,-0.4509941
5313,2,Yunnan,2013,222280624,13027,413,358,0.037999999,0.11,0.115,0.050999999,0.059999999,0.052000001,0.861,0.245,0,9.4747791,19.219452,-0.39093602,-0.41402832,0.21201079,0.047224887,-0.30066866,0.36995912,0.30882424,0.22722276,-0.5655064,0.2552433,-0.37990206,-0.50991964
5314,2,Yunnan,2014,219312000,14275.1,557,574,0.043000001,0.119,0.12800001,0.048,0.061000001,0.052999999,0.71799999,0.33899999,0,9.5662718,19.206005,-0.35591504,-0.36200938,0.82434088,0.42502436,-0.27409106,0.27900764,0.38944381,0.31880099,-0.58853912,0.58242351,-0.46369532,-0.43885782
5315,2,Yunnan,2015,214986352,15358.6,706,773,0.039999999,0.124,0.11,0.054000001,0.064999998,0.054000001,0.68400002,0.317,0,9.639431,19.186085,-0.31967804,-0.31408453,0.45694274,0.63491267,-0.31089082,0.46091071,0.71192122,0.41037953,-0.59401542,0.63318241,-0.39120695,-0.46021768
5316,2,Yunnan,2016,210642416,16773.6,973,1016,0.039000001,0.117,0.102,0.054000001,0.057999998,0.052999999,0.61199999,0.115,0,9.727562,19.165672,-0.25474328,-0.25556326,0.33447701,0.34106877,-0.32724625,0.46091071,0.14758539,0.31880099,-0.60561228,0.31340602,-0.24925093,-0.51504087
5317,2,Yunnan,2017,212542304,18864.6,1094,1448,0.041000001,0.138,0.134,0.07,0.068999998,0.064000003,0.57499999,0.417,0,9.8450422,19.174652,-0.22531591,-0.15152539,0.57940894,1.2226005,-0.26182449,0.94598538,1.0343989,1.3261634,-0.61157185,1.1425972,-0.28312695,-0.36175931
5318,2,Yunnan,2018,217358240,21427.5,1362,1881,0.043000001,0.13500001,0.106,0.064999998,0.071999997,0.057,0.74699998,0.28999999,0,9.9724302,19.197058,-0.16013795,-0.047246706,0.82434088,1.0966678,-0.31906855,0.79439944,1.276257,0.6851145,-0.58386815,1.0427938,-0.22537072,-0.37311876
5319,2,Yunnan,2019,216829872,23902.1,1378,1861,0.041000001,0.138,0.090999998,0.074000001,0.068000004,0.061000001,0.51700002,0.221,0,10.081721,19.194624,-0.15624674,-0.052063275,0.57940894,1.2226005,-0.34973499,1.0672541,0.95377994,1.0514281,-0.62091374,1.0063769,-0.14128186,-0.43006107
5320,2,Yunnan,2020,215735424,25214.5,1584,2672,0.044,0.132,0.079999998,0.056000002,0.071000002,0.059999999,0.55400002,0.17,0,10.135175,19.189564,-0.10614725,0.14324853,0.94680667,0.97073436,-0.37222373,0.52154505,1.1956381,0.95984948,-0.61495423,1.0766459,-0.21995935,-0.37758708
5321,2,Yunnan,2021,219190752,27895.301,1585,2390,0.048,0.142,0.077,0.048999999,0.077,0.061999999,0.479,0.271,0,10.236214,19.205454,-0.10590405,0.075334936,1.4366705,1.3905116,-0.37835702,0.30932474,1.6793543,1.1430062,-0.62703431,1.5403731,-0.44679984,-0.30652979
5322,2,Yunnan,2022,212591584,29301.1,1919,2416,0.046999998,0.146,0.077,0.050000001,0.075000003,0.061999999,0.43200001,0.271,0,10.28538,19.174883,-0.024674803,0.081596471,1.3142043,1.5584221,-0.37835702,0.33964199,1.5181158,1.1430062,-0.63460451,1.4964939,-0.38890293,-0.31244159
5323,2,Yunnan,2023,224286160,30595.801,2319,2532,0.048,0.146,0.075999998,0.050000001,0.075000003,0.061000001,0.40099999,0.28099999,0,10.328618,19.228434,0.072605737,0.10953256,1.4366705,1.5584221,-0.38040146,0.33964199,1.5181158,1.0514281,-0.63959765,1.4904937,-0.33349776,-0.30545431
1500,3,Neimenggu,2000,140109200,1551.3,11,21,0.024,0.071000002,0.36399999,0.032000002,0.037,0.033,3.523,0.45500001,0,7.3468485,18.757933,-0.48870298,-0.49518746,-1.5025125,-1.5899054,0.20839448,-0.20606707,-1.5454221,-1.5127664,-0.13674362,-1.6060445,-0.018980335,-0.29107833
1501,3,Neimenggu,2001,142679840,1729.5,15,27,0.024,0.07,0.322,0.032000002,0.037999999,0.029999999,4.0749998,0.278,0,7.4555879,18.776114,-0.48773018,-0.4937425,-1.5025125,-1.6318833,0.12252842,-0.20606707,-1.4648029,-1.7875015,-0.047834165,-1.68276,0.007760604,-0.30614656
1502,3,Neimenggu,2002,156339680,1959.7,12,28,0.026000001,0.078000002,0.31099999,0.028000001,0.039999999,0.035,2.7720001,0.41299999,0,7.5805469,18.867542,-0.48845977,-0.49350166,-1.2575804,-1.2960615,0.10003967,-0.32733577,-1.303564,-1.3296096,-0.2577056,-1.3411562,-0.14946459,-0.36596969
1503,3,Neimenggu,2003,193669040,2415.1001,15,36,0.026000001,0.082000002,0.28200001,0.032000002,0.039999999,0.037999999,3.4400001,0.38999999,0,7.7894959,19.081661,-0.48773018,-0.49157503,-1.2575804,-1.1281507,0.040751223,-0.20606707,-1.303564,-1.0548745,-0.15011224,-1.2258488,-0.14017911,-0.33096266
1504,3,Neimenggu,2004,228895008,2976.2,30,31,0.028999999,0.082999997,0.226,0.022,0.041999999,0.039000001,2.543,0.34400001,0,7.9984026,19.248774,-0.48408213,-0.4927792,-0.89018273,-1.0861732,-0.073736899,-0.50923884,-1.1423252,-0.96329606,-0.29459018,-1.0395787,-0.304524,-0.42336062
1505,3,Neimenggu,2005,275958208,3562.7,23,39,0.028000001,0.088,0.26100001,0.027000001,0.046999998,0.037999999,1.973,0.35800001,0,8.1782742,19.43576,-0.48578456,-0.49085256,-1.0126485,-0.8762846,-0.002181812,-0.35765296,-0.73922813,-1.0548745,-0.38639888,-0.92718238,-0.29415965,-0.42265397
1506,3,Neimenggu,2006,328438304,4212.2998,37,48,0.029999999,0.085000001,0.168,0.032000002,0.044,0.041000001,1.749,0.26100001,0,8.3457642,19.609859,-0.48237973,-0.4886851,-0.76771677,-1.0022177,-0.19231386,-0.20606707,-0.98108631,-0.78013927,-0.42247811,-0.91344631,-0.26729578,-0.55063826
1507,3,Neimenggu,2007,386697376,5239.6001,43,42,0.033,0.094999999,0.17,0.029999999,0.050000001,0.046,1.508,0.41,0,8.5640001,19.773153,-0.48092052,-0.49013007,-0.40031886,-0.58244067,-0.18822499,-0.26670149,-0.49736974,-0.32224753,-0.46129546,-0.4194645,-0.43136287,-0.48504555
1508,3,Neimenggu,2008,397196544,6352.3999,35,50,0.033,0.093000002,0.126,0.041999999,0.046999998,0.041000001,1.26,0.228,0,8.756588,19.799942,-0.48286614,-0.48820344,-0.40031886,-0.66639596,-0.27817991,0.097104572,-0.73922813,-0.78013927,-0.50124031,-0.67082244,-0.25812212,-0.61506361
1509,3,Neimenggu,2009,408871296,7227,37,73,0.037,0.106,0.125,0.041000001,0.052999999,0.045000002,0.78399998,0.366,0,8.8855791,19.828911,-0.48237973,-0.48266441,0.089545049,-0.12068596,-0.28022435,0.066787459,-0.25551158,-0.41382575,-0.57790864,-0.13591325,-0.42572445,-0.56665695
1510,3,Neimenggu,2010,464827296,8342.0996,62,85,0.032000002,0.107,0.090000004,0.046,0.052000001,0.046999998,0.847,0.22499999,0,9.0290699,19.957176,-0.4762997,-0.47977445,-0.52278459,-0.078708164,-0.35177943,0.21837328,-0.33613086,-0.23066932,-0.56776136,-0.28385705,-0.33975768,-0.6367259
1511,3,Neimenggu,2011,513846048,9610.7998,97,117,0.034000002,0.109,0.11,0.052000001,0.055,0.050999999,0.81699997,0.243,0,9.1706429,20.057434,-0.46778765,-0.47206795,-0.27785265,0.005247098,-0.31089082,0.40027633,-0.09427274,0.13564421,-0.57259339,-0.023059396,-0.3512429,-0.58010519
1512,3,Neimenggu,2012,523005888,10638.9,87,166,0.037999999,0.113,0.078000002,0.063000001,0.059,0.048999999,0.63599998,0.34,0,9.2722721,20.075104,-0.47021967,-0.46026736,0.21201079,0.17315795,-0.37631258,0.73376524,0.22820497,-0.047512557,-0.60174668,0.17741556,-0.30958906,-0.6136564
1513,3,Neimenggu,2013,551492288,11584.9,174,185,0.039999999,0.117,0.086999997,0.048999999,0.064000003,0.052999999,0.64099997,0.37900001,0,9.3574581,20.128138,-0.44906116,-0.45569161,0.45694274,0.34106877,-0.35791272,0.30932474,0.63130224,0.31880099,-0.60094136,0.53241444,-0.52731222,-0.52156681
1514,3,Neimenggu,2014,542966400,12377.3,183,272,0.034000002,0.116,0.093000002,0.057,0.056000002,0.055,0.64600003,0.213,0,9.4236193,20.112558,-0.44687232,-0.43473956,-0.27785265,0.29909098,-0.34564614,0.55186218,-0.01365316,0.50195771,-0.60013598,0.17026715,-0.34269375,-0.58606213
1515,3,Neimenggu,2015,536320064,13062.7,241,392,0.039000001,0.126,0.083999999,0.075999998,0.061000001,0.054000001,0.40700001,0.31600001,0,9.4775162,20.100243,-0.43276665,-0.40584016,0.33447701,0.71886826,-0.36404601,1.1278883,0.38944381,0.41037953,-0.63863122,0.51626796,-0.25332201,-0.58343172
1516,3,Neimenggu,2016,545921984,13879,282,492,0.041999999,0.126,0.086000003,0.056000002,0.067000002,0.055,0.479,0.28200001,0,9.5381317,20.117987,-0.42279541,-0.38175732,0.70187467,0.71886826,-0.35995713,0.52154505,0.87316036,0.50195771,-0.62703431,0.80837131,-0.50256592,-0.49345824
1517,3,Neimenggu,2017,577613952,15009.9,313,808,0.039999999,0.127,0.12,0.056000002,0.068999998,0.056000002,0.81999999,0.273,0,9.6164656,20.174416,-0.41525617,-0.30565554,0.45694274,0.76084602,-0.29044652,0.52154505,1.0343989,0.59353632,-0.57211018,0.82234037,-0.46154594,-0.41839236
1518,3,Neimenggu,2018,604939328,16252.9,518,1002,0.046,0.13500001,0.113,0.061000001,0.074000001,0.064999998,0.68800002,0.38999999,0,9.6960268,20.220638,-0.3653999,-0.25893486,1.1917386,1.0966678,-0.30475754,0.67313087,1.4374962,1.4177412,-0.59337115,1.4560484,-0.56090242,-0.32991812
1519,3,Neimenggu,2019,635633216,17479.4,637,1469,0.046999998,0.13699999,0.127,0.057,0.074000001,0.061000001,0.89499998,0.333,0,9.7687788,20.270132,-0.33645892,-0.146468,1.3142043,1.1806227,-0.2761355,0.55186218,1.4374962,1.0514281,-0.5600301,1.4034951,-0.51517874,-0.28668332
1520,3,Neimenggu,2020,652283072,17623.4,710,1865,0.041999999,0.131,0.109,0.059,0.064999998,0.057,0.91799998,0.090999998,0,9.7769833,20.29599,-0.31870523,-0.05109996,0.70187467,0.92875659,-0.31293526,0.6124965,0.71192122,0.6851145,-0.55632555,0.82906103,-0.2865009,-0.39402711
1521,3,Neimenggu,2021,728470912,21584.801,851,1750,0.046,0.14399999,0.108,0.041999999,0.07,0.066,0.46399999,0.25299999,0,9.9797449,20.406458,-0.28441384,-0.078795224,1.1917386,1.4744666,-0.31497967,0.097104572,1.1150185,1.5093198,-0.62945038,1.4949508,-0.63896453,-0.29767641
1522,3,Neimenggu,2022,757028736,23795.699,966,1790,0.046999998,0.142,0.108,0.043000001,0.071000002,0.064999998,0.465,0.257,0,10.07726,20.444912,-0.25644568,-0.069162086,1.3142043,1.3905116,-0.31497967,0.12742181,1.1956381,1.4177412,-0.62928927,1.4966105,-0.61337614,-0.2946811
1523,3,Neimenggu,2023,837966656,25020.5,1374,2160,0.046999998,0.146,0.108,0.044,0.07,0.064000003,0.48699999,0.255,0,10.127451,20.54649,-0.15721953,0.019944409,1.3142043,1.5584221,-0.31497967,0.15773892,1.1150185,1.3261634,-0.62574577,1.4729464,-0.51638478,-0.28236279
1100,4,Beijing,2000,43133076,3328,425,297,0.022,0.068000004,0.23800001,0.01,0.035,0.032000002,12.104,0.226,0,8.1101265,17.579802,-0.38801762,-0.42871884,-1.7474444,-1.7158384,-0.049203716,-0.87304491,-1.706661,-1.6043446,1.2453802,-1.7793841,0.012664195,0.2996726
1101,4,Beijing,2001,43311436,3935.3999,425,304,0.023,0.071999997,0.155,0.01,0.039000001,0.030999999,8.8439999,0.20200001,0,8.2777681,17.583927,-0.38801762,-0.42703304,-1.6249784,-1.547928,-0.21889144,-0.87304491,-1.3841833,-1.6959231,0.72029871,-1.6597772,-0.080451101,-0.050542019
1102,4,Beijing,2002,45715664,4634.8999,594,363,0.025,0.078000002,0.155,0.011,0.037999999,0.035,7.4850001,0.25400001,0,8.44137,17.637951,-0.34691659,-0.41282418,-1.3800464,-1.2960615,-0.21889144,-0.84272772,-1.4648029,-1.3296096,0.50140744,-1.4475265,-0.13027652,-0.12503529
1103,4,Beijing,2003,49524960,5400.1001,715,378,0.025,0.075999998,0.12800001,0.012,0.039999999,0.034000002,6.5780001,0.141,0,8.5941725,17.717987,-0.31748924,-0.40921175,-1.3800464,-1.3800172,-0.27409106,-0.81241053,-1.303564,-1.4211878,0.35531884,-1.4658576,-0.11837382,-0.23404984
1104,4,Beijing,2004,54575776,6424.1001,785,391,0.028999999,0.081,0.108,0.017000001,0.039000001,0.037,6.0159998,0.22499999,0,8.7678118,17.815102,-0.30046514,-0.40608096,-0.89018273,-1.1701285,-0.31497967,-0.66082466,-1.3841833,-1.1464528,0.26479864,-1.2269282,-0.14440167,-0.26789406
1105,4,Beijing,2005,60665552,7327.3999,1047,435,0.027000001,0.083999999,0.117,0.013,0.043000001,0.037999999,5.1690001,0.167,0,8.8993759,17.920887,-0.23674637,-0.39548454,-1.1351144,-1.0441954,-0.29657981,-0.78209335,-1.0617056,-1.0548745,0.12837417,-1.1458225,-0.18415098,-0.3057332
1106,4,Beijing,2006,63899288,8618.9004,1228,620,0.029999999,0.090999998,0.109,0.014,0.050000001,0.039000001,4.8569999,0.31200001,0,9.0617132,17.972818,-0.19272693,-0.35093129,-0.76771677,-0.75035155,-0.31293526,-0.75177622,-0.49736974,-0.96329606,0.078120947,-0.7865417,-0.24502066,-0.27654898
1107,4,Beijing,2007,63753556,10730.4,1638,712,0.033,0.098999999,0.104,0.016000001,0.050000001,0.046999998,4.0019999,0.38100001,0,9.2808361,17.970535,-0.093014382,-0.32877508,-0.40031886,-0.41452986,-0.3231574,-0.69114184,-0.49736974,-0.23066932,-0.059592117,-0.39692432,-0.3023577,-0.28073037
1108,4,Beijing,2008,63535280,12167.6,2444,1074,0.034000002,0.101,0.107,0.016000001,0.052000001,0.048999999,3.7550001,0.43200001,0,9.4065323,17.967106,0.1030059,-0.24159519,-0.27785265,-0.33057427,-0.31702411,-0.69114184,-0.33613086,-0.047512557,-0.099375851,-0.2721225,-0.22035615,-0.25266182
1109,4,Beijing,2009,66557700,13335.7,2728,1545,0.033,0.102,0.106,0.025,0.054000001,0.048,3.7679999,0.27500001,0,9.4982004,18.01358,0.17207508,-0.12816504,-0.40031886,-0.28859681,-0.31906855,-0.41828731,-0.17489201,-0.13909078,-0.097282,-0.30886713,-0.049146242,-0.25801668
1110,4,Beijing,2010,72923448,15420.2,3450,1795,0.033,0.11,0.096000001,0.024,0.057999998,0.052000001,3.1340001,0.34900001,0,9.6434336,18.104921,0.34766644,-0.067957945,-0.40031886,0.047224887,-0.33951285,-0.44860449,0.14758539,0.22722276,-0.19939902,-0.04636208,-0.044629287,-0.25968844
