	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
	(0.733)	(0.583)	(0.469)	(0.335)	(0.513)	(0.400)	(0.315)	(0.217)
2013.year	-1.879**	-0.480	-0.353	-0.107	-0.0725	0.0532	-0.345	-0.363
	(0.776)	(0.629)	(0.517)	(0.390)	(0.543)	(0.434)	(0.348)	(0.252)
2014.year	-2.024**	-0.518	-0.354	-0.120	-0.123	0.0310	-0.391	-0.401
	(0.821)	(0.677)	(0.562)	(0.440)	(0.567)	(0.460)	(0.375)	(0.276)
2015.year	-2.210**	-0.553	-0.320	-0.0655	-0.211	-0.00966	-0.471	-0.474
	(0.851)	(0.720)	(0.606)	(0.490)	(0.586)	(0.484)	(0.397)	(0.304)
2016.year	-1.972**	-0.176	0.116	0.420	-0.931	-0.689	-1.183***	-1.233***
	(0.959)	(0.833)	(0.750)	(0.665)	(0.602)	(0.501)	(0.411)	(0.326)
2017.year	-1.867*	0.0247	0.352	0.656	-1.235*	-0.961*	-1.492***	-1.571***
	(0.958)	(0.838)	(0.749)	(0.656)	(0.655)	(0.539)	(0.447)	(0.358)
2018.year	-1.707	0.295	0.654	0.956	-1.369*	-1.048*	-1.614***	-1.694***
	(1.015)	(0.898)	(0.820)	(0.731)	(0.679)	(0.567)	(0.476)	(0.394)
2019.year	-2.008*	0.0946	0.479	0.806	-1.442**	-1.098*	-1.697***	-1.789***
	(1.018)	(0.946)	(0.852)	(0.763)	(0.702)	(0.594)	(0.501)	(0.413)
2020.year	-2.101*	0.0709	0.618	0.956	-1.776**	-1.408**	-2.038***	-2.167***
	(1.042)	(0.969)	(0.874)	(0.781)	(0.712)	(0.610)	(0.517)	(0.439)
2021.year	-1.435	0.788	1.301	1.637*	-1.938**	-1.543**	-2.184***	-2.342***
	(1.099)	(1.018)	(0.914)	(0.827)	(0.744)	(0.646)	(0.555)	(0.475)
2022.year	-1.463	0.819	1.326	1.670*	-2.061**	-1.636**	-2.286***	-2.456***
	(1.118)	(1.080)	(0.997)	(0.912)	(0.752)	(0.661)	(0.573)	(0.494)
2023.year	-1.447				-2.202***			
	(1.151)				(0.763)			
o.did_post2		-	-	-		-	-	-
								
sec_pctg		5.080**	5.736***	6.992***		1.914**	1.522	1.510
		(1.914)	(1.886)	(2.170)		(0.882)	(0.912)	(0.947)
coal_share_pctg		0.0929	0.0433	0.230		1.305***	1.298***	1.264***
		(0.792)	(0.685)	(0.878)		(0.404)	(0.424)	(0.441)
population			-0.000386**	-0.000442**			-9.15e-05	-0.000227
			(0.000172)	(0.000195)			(0.000113)	(0.000139)
urbanization_rate			-7.137***	-7.066***			0.961	1.059
			(1.597)	(1.647)			(1.489)	(1.343)
env_exp_share				0.0321				-3.349
				(4.936)				(2.467)
green_finance_pilot				-0.124				0.241*
				(0.174)				(0.119)
market_index				0.119**				-0.111**
				(0.0484)				(0.0474)
Constant	-8.546**	-4.735	-7.793**	-8.891**	2.543	2.524	2.136	2.073
	(3.308)	(3.654)	(3.627)	(3.832)	(2.398)	(2.462)	(2.944)	(2.803)
								
Observations	720	600	540	480	720	600	540	480
R-squared	0.786	0.768	0.776	0.755	0.906	0.930	0.939	0.947
Number of province_id	30	30	30	30	30	30	30	30
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
